Pb_material,Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Total_Pb,Pb206_207,St_dev_x,Pb208_207,St_dev_y
Water sample,EH11 1QR,Glencorse,NT,Central/South,0.372,1.121,,2.404,
Water sample,EH112QP,Glencorse,NT,Central/South,0.285,1.155,,2.444,
Water sample,EH113UJ,Glencorse,NT,Central/South,0.303,1.144,,2.418,
Water sample,EH125QF,Glencorse,NT,Central/South,0.511,1.134,,2.408,
Water sample,EH125TN,Glencorse,NT,Central/South,0.572,1.144,,2.422,
Water sample,EH126AQ,Glencorse,NT,Central/South,0.5,1.165,,2.458,
Water sample,EH128BZ,Glencorse,NT,Central/South,0.5,1.125,,2.403,
Water sample,EH151JT,Glencorse,NT,Central/South,0,1.085,,2.373,
Water sample,EH166PE,Glencorse,NT,Central/South,0.348,1.094,,2.373,
Water sample,EH178HU,Glencorse,NT,Central/South,0.076,1.132,,2.405,
Water sample,EH209JE,Glencorse,NT,Central/South,0.3,1.168,,2.441,
Water sample,EH209JH,Glencorse,NT,Central/South,0.254,1.079,,2.342,
Water sample,EH3 9JB,Glencorse,NT,Central/South,0.677,1.135,,2.404,
Water sample,EH41QD,Glencorse,NT,Central/South,0.069,1.152,,2.419,
Water sample,EH42AN,Glencorse,NT,Central/South,2.182,1.125,,2.406,
Water sample,EH42HA,Glencorse,NT,Central/South,0.169,1.125,,2.304,
Water sample,EH43JZ,Glencorse,NT,Central/South,2.701,1.084,,2.351,
Water sample,EH43PX,Glencorse,NT,Central/South,3.514,1.101,,2.378,
Water sample,EH47DJ,Glencorse,NT,Central/South,0.383,1.125,,2.417,
Water sample,EH53BY,Glencorse,NT,Central/South,0.091,1.129,,2.394,
Water sample,EH53NJ,Glencorse,NT,Central/South,0.227,1.072,,2.343,
Water sample,EH67PL,Glencorse,NT,Central/South,0.839,1.166,,2.464,
Water sample,EH74AX,Glencorse,NT,Central/South,0.073,1.123,,2.396,
Water sample,EH76JG,Glencorse,NT,Central/South,0.336,1.098,,2.353,
Water sample,EH93EP,Glencorse,NT,Central/South,0.037,1.135,,2.407,
Water sample,EH36LL,Glencorse?,NT,Central/South,0.567,1.129,,2.404,
Water sample,EH345EJ,Hopes,NT,Central/South,0.73,1.08,,2.362,
Water sample,EH139EW,Marchbank,NT,Central/South,0.178,1.074,,2.34,
Water sample,EH143BY,Marchbank,NT,Central/South,0.096,1.152,,2.404,
Water sample,EH145AE,Marchbank,NT,Central/South,0.331,1.105,,2.372,
Water sample,EH145DZ,Marchbank,NT,Central/South,0.172,1.146,,2.409,
Water sample,EH147EZ,Marchbank,NT,Central/South,0.259,1.061,,2.317,
Water sample,EH51NA,Marchbank,NT,Central/South,0.345,1.109,,2.396,
Water sample,EH546JT,Marchbank,NT,Central/South,1.09,1.153,,2.438,
Water sample,EH64QF,Marchbank,NT,Central/South,0.426,1.132,,2.403,
Water sample,DG109DP,Moffat,NT,Central/South,0.118,1.14,,2.406,
Water sample,DG109HD,Moffat,NT,Central/South,-0.051,1.123,,2.362,
Water sample,DG109JJ,Moffat,NT,Central/South,0.261,1.168,,2.443,
Water sample,DG109JX,Moffat,NT,Central/South,0.97,1.123,,2.41,
Water sample,TD113BA,Rawburn,NT,Central/South,0.197,1.083,,2.315,
Water sample,TD113NN,Rawburn,NT,Central/South,0.102,1.085,,2.386,
Water sample,TD145EY,Rawburn,NT,Central/South,1.287,1.153,,2.423,
Water sample,EH139LB,Roseberry,NT,Central/South,0.037,1.171,,2.436,
Water sample,EH181DA,Roseberry,NT,Central/South,0.016,1.156,,2.339,
Water sample,EH218DQ,Roseberry,NT,Central/South,1.931,1.139,,2.408,
Water sample,EH260LJ,Roseberry,NT,Central/South,0.013,1.147,,2.39,
Water sample,EH268JU,Roseberry,NT,Central/South,0.002,1.159,,2.394,
Water sample,EH269HT,Roseberry,NT,Central/South,0.147,1.135,,2.388,
Water sample,EH106EY,Rosebery,NT,Central/South,1.566,1.147,,2.436,
Water sample,EH217TJ,Rosebery,NT,Central/South,0.089,1.118,,2.387,
Water sample,EH218DY,Rosebery,NT,Central/South,0.529,1.097,,2.381,
Water sample,EH320PP,Rosebery Castle Moffat,NT,Central/South,0.05,1.18,,2.427,
Water sample,EH320ST,Rosebery Castle Moffat,NT,Central/South,0.053,1.161,,2.401,
Water sample,EH329AT,Rosebery Castle Moffat,NT,Central/South,0.274,1.106,,1.365,
Water sample,EH329DJ,Rosebery Castle Moffat,NT,Central/South,3.179,1.099,,2.38,
Water sample,EH355LJ,Rosebery Hopes,NT,Central/South,0.481,1.124,,2.396,
Water sample,EH355LX,Rosebery Hopes,NT,Central/South,0.033,1.159,,2.42,
